21,1,1,1,1,3,3,2,3,3,Mobile Phone
21,1,1,0,1,2,0,0,2,2,Mobile Phone
23,0,1,1,0,3,2,3,2,3,Mobile Phone
23,1,1,1,1,3,3,4,4,3,Mobile Phone
21,1,1,1,0,4,4,3,2,3,Remote Control
23,0,1,1,1,4,4,3,2,3,Mobile Phone
21,0,1,1,1,2,2,3,4,4,Remote Control
25,0,1,1,1,3,2,3,3,3,Mobile Phone
21,1,1,1,1,0,0,0,0,0,Mobile Phone
21,0,1,1,1,2,2,3,2,2,Mobile Phone
21,1,1,0,1,0,0,2,2,0,Mobile Phone
32,0,1,1,1,4,4,4,4,4,Mobile Phone
21,1,0,0,0,3,3,3,3,3,Mobile Phone
26,0,1,1,1,4,3,4,4,3,Remote Control
21,0,1,1,1,2,2,3,3,2,Remote Control
27,1,1,1,1,3,3,3,2,2,Mobile Phone
21,1,1,1,1,3,3,3,3,3,Mobile Phone
22,1,1,1,1,3,3,3,4,4,Mobile Phone
27,0,1,1,1,4,3,3,2,4,Mobile Phone
21,1,1,1,1,0,0,0,0,0,Mobile Phone
21,1,1,1,1,2,2,3,3,3,Mobile Phone

